property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_storage,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,הגוש הגדול,יחזקאל שטרייכמן 2,5.0,3,118,0,,12,,0,9,"יחזקאל שטרייכמן 2 13,000 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 118 מ""ר | קומה 3 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת יחזקאל שטרייכמן 2 חדרים 5 מרפסות 1 קומה 3 מתוך 9 שטח בנוי 118 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב יחזקאל שטרייכמן שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור מפרטי , לזוג או ליחיד ! 5 חדרים מחולקת ל 3.5 חדרים - לא מתאים למשפחה בניין בוטיק: 3 דיירים בקומה, קומה 3 נוף מהמם - קו ראשון לים מרפסות: 20 מ""ר לכיוון הים + מרפסת שרות של 5 מ""ר 2 ארונות קיר יפים מרחק הליכה קצר לים 2 חניות מקורות, מחסן גדול בנוי 118 מ""ר + מרפסות מתאים לזוג או ליחיד . לטווח ארוך אילן הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,0,0,13000.0,6,4826.0
דירה,הגוש הגדול,אמיר גלבוע 9,3.0,6,80,0,,12,,0,11,"אמיר גלבוע 9 10,950 ₪ הגוש הגדול, תל אביב יפו 3 חד' | 80 מ""ר | קומה 6 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת אמיר גלבוע 9 חדרים 3 מרפסות 1 קומה 6 מתוך 11 שטח בנוי 80 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב אמיר גלבוע שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור להשכרה לטווח ארוך ללא תיווך דירת 3 חדרים משודרגת. הדירה בקומה ה6 , כוללת שתי חניות צמודות, מחסן, מטבח מאובזר עם כל מוצרי החשמל (ללא מקרר) ארון ומיטה בחדר ילדים, מיטה זוגית בחדר שינה, מרפסת מרווחת. חדר כושר לדיירים פירוט ריהוט מיטה זוגית בחדר שינה חדר ילדים כולל מיטה וארון מאיה הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,1,0,10950.0,8,4761.0
דירה,הגוש הגדול,מרק שאגאל 10,3.0,4,85,0,0,12,600,420,6,"מרק שאגאל 10 10,800 ₪ הגוש הגדול, תל אביב יפו 3 חד' | 85 מ""ר | קומה 4 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת מרק שאגאל 10 חדרים 3 מרפסות 1 קומה 4 מתוך 6 שטח בנוי 85 תאריך כניסה מיידית תשלומים בשנה 12 ארנונה בחודש 600 ועד בית בחודש 420 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור ללא תיווך! דירת 3 חדרים יפיפיה, מרווחת ושמורה עם נוף לים. במרחק דקות הליכה מהחוף. 2 חדרי אמבטיה, 2 שירותים, חדר ארונות. ממ""ד מרווח. מטבח מאובזר ושכנים נוחים לזר הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מצאתי טעות מקור המודעה:יד2",1,1,1,1,0,0,1,1,0,1,10800.0,4,4829.0
דירה,הגוש הגדול,ארתור רובינשטיין 8,3.0,5,104,6,,12,,0,10,"ארתור רובינשטיין 8 9,500 ₪ הגוש הגדול, תל אביב יפו 3 חד' | 96 מ""ר | קומה 5 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת ארתור רובינשטיין 8 חדרים 3 מרפסות 1 קומה 5 מתוך 10 שטח בנוי 104 שטח גינה 6 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב ארתור רובינשטיין שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור שכונת נופי ים. דירה 3 חדרים מרווחות 96 מטר מוארת ומושקעת ,מרפסת עם נוף חלקי לים. יחידת הורים גדולה. מיקום מצויין מרחק הליכה מהים. כולל 2 חנויות מקורות נטע הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מצאתי טעות מקור המודעה:יד2",1,0,1,1,1,0,1,1,0,1,9500.0,10,4769.0
דירה,הגוש הגדול,אייזק שטרן 17,4.5,2,125,0,,12,990,575,12,"אייזק שטרן 17 12,000 ₪ הגוש הגדול, תל אביב יפו 4.5 חד' | 125 מ""ר | קומה 2 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת אייזק שטרן 17 חדרים 4.5 מרפסות 2 קומה 2 מתוך 12 שטח בנוי 125 תשלומים בשנה 12 ארנונה בחודש 990 ועד בית בחודש 575 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור דירה במצב מצוין, בנין חדיש, מעוצבת מוארת, מרווחת, כולל נוף לים, מעוצבת על ידי אדריכל, 4 חדרים גדולים + 1/2 חדר ארונות/ מזווה + פינת אוכל, 2 חדרי רחצה אמבטיה ומקלחון, 3 שירותים, מרפסת שמש + מרפסת שירות. חניה ומחסן גדול במרתף, לובי מפואר מים חמים גז + חשמל, שני ארונות קיר בחדרים, מטבח יוקרתי כולל כיריים נירוסטה יוקרתיים, מיזוג מיצובישי רשת ליתושים בחלונות תחילת שכירות 1.8.2024 - אפשרות לפני ריקי פטל הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,0,0,12000.0,10,4336.0
דירה,הגוש הגדול,שדרות לוי אשכול 69,3.0,5,102,12,,12,700,490,12,"שדרות לוי אשכול 69 9,000 ₪ הגוש הגדול, תל אביב יפו 3 חד' | 90 מ""ר | קומה 5 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת שדרות לוי אשכול 69 חדרים 3 מרפסות 1 קומה 5 מתוך 12 שטח בנוי 102 שטח גינה 12 תשלומים בשנה 12 ארנונה בחודש 700 ועד בית בחודש 490 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב שדרות לוי אשכול שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור דירת שלושה חדרים מרווחת מאוד 90 מטר + מרפסת גדולה, מיזוג מרכזי + חניה. בנוסף חדר ארונות צמוד לחדר השינה, מרפסת שירות לכביסה. במטבח יש תנור, כיריים ומדיח כלים. בחדרים יש בנוסף מאווררי תקרה דוד הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מצאתי טעות מקור המודעה:יד2",1,0,1,1,1,0,1,1,0,0,9000.0,9,4810.0
דירה,הגוש הגדול,שדרות לוי אשכול 63,4.5,2,125,10,,12,950,725,5,"שדרות לוי אשכול 63 12,500 ₪ הגוש הגדול, תל אביב יפו 4.5 חד' | 115 מ""ר | קומה 2 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת שדרות לוי אשכול 63 חדרים 4.5 מרפסות 1 קומה 2 מתוך 5 שטח בנוי 125 שטח גינה 10 תשלומים בשנה 12 ארנונה בחודש 950 ועד בית בחודש 725 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב שדרות לוי אשכול שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור מפרטי ללא תיווך. בנופי ים. 4.5 חדרים, מרווחת מאוד 115מ+10מ מרפסת. 3 כ.אוויר, שקטה מאוד, פונה לגינה(לא ללוי אשכול) מערבית. סלון גדול ומרווח במיוחד. סוויטת הורים גדולה עם חדר ארונות ומקלחת. סוויטה נוספת בכניסה לדירה עם מקלחת ושירותים צמודים. סה""כ 3 מקלחות ושירותים. בנוסף ל4 חדרים יש ממ""ד נעים וממוזג עם חלון, כחדר עבודה.2 חניות נפרדות ומחסן.ארונות קיר בכל הבית. סורגים שקופים בחלונות.8 דק הליכה לים פירוט ריהוט עדיפות לטווח ארוך. ניתן לשכור עם או בלי הציוד הבא: מקרר, מדיח,תנור, כיריים, מ.כביסה, מייבש, 2 טלוויזיות, ספה בסלון, פ.אוכל, שולחן מטבח וכסאות, מיטות וכונניות בחדרי הילדים, מזנון TV, מידוף בח.ארונות יוסי הצגת מספר טלפון תאריך יצירה: 26/06/2024 תאריך הקפצה אחרון: 26/06/2024 מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,1,1,1,1,0,12500.0,10,4511.0
דירה,הגוש הגדול,שטרייכמן יחזקאל 18,4.0,2,130,0,0,12,1500,600,7,"שטרייכמן יחזקאל 18 12,600 ₪ הגוש הגדול, תל אביב יפו 4 חד' | 130 מ""ר | קומה 2 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת שטרייכמן יחזקאל 18 חדרים 4 מרפסות 1 קומה 2 מתוך 7 שטח בנוי 130 תאריך כניסה מיידית תשלומים בשנה 12 ארנונה בחודש 1500 ועד בית בחודש 600 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב שטרייכמן יחזקאל שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור דירה בשכונת נופי ים, צפון ת""א דירת 4 חדרים, קומה 2, כ-130 מטר. 2 חניות, מחסן. מאובזרת כיריים, גז וקולט אדים. אליעז הצגת מספר טלפון תאריך יצירה: 06/10/2022 תאריך הקפצה אחרון: 06/10/2022 מצאתי טעות",1,1,1,1,0,1,1,1,1,1,12600.0,4,4470.0
כללי,הגוש הגדול,ארתור רובינשטיין,5.0,9,250,0,0,12,,0,10,"ארתור רובינשטיין 25,500 ₪ הגוש הגדול, תל אביב יפו 5 חד' | 250 מ""ר | קומה 9 הוסף למועדפים שתף פרטי הנכס גג/ פנטהאוז אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול כתובת ארתור רובינשטיין חדרים 5 מרפסות 1 קומה 9 מתוך 10 שטח בנוי 250 תאריך כניסה מיידית תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור רחוב ארתור רובינשטיין שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור להשכרה בשכונת נופי ים בצפון תל אביב. במרחק פסיעה מהים. מיני פנטהאוז מהמם, מושקע ומעוצב אדריכלית! דירה חדשה מהניילונים (לא גרו בנכס מעולם) -180 מ""ר בנוי+70 מ""ר מרפסת שמש. -5 חדרים (מתוכם 3 סוויטות מאסטר) -קומה גבוהה עם נוף פתוח לים. -3 כיווני אוויר: (מערב, צפון ומזרח) -בבניין בוטיק חדש. -סלון מאוד גדול ומרווח. -מטבח יפה ומשודרג עם אי גדול. -ריצוף פרקט עץ בכל הבית. -תריסי אור חשמליים. -2 חניות+מחסן מייקי קלינגר הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,0,1,25500.0,14,4724.0
דירה,הגוש הגדול,,4.5,1,112,0,,12,,0,9,"הגוש הגדול 12,500 ₪ הגוש הגדול, תל אביב יפו 4.5 חד' | 112 מ""ר | קומה 1 הוסף למועדפים שתף פרטי הנכס דירה אזור תל אביב עיר תל אביב יפו שכונה הגוש הגדול חדרים 4.5 מרפסות 1 קומה 1 מתוך 9 שטח בנוי 112 תשלומים בשנה 12 מה יש בדירה על עמודים מרוהטת מזגן חניה ממ""ד מרפסת נגישות סורגים מעלית מחסן מרפסת שמש משופצת על האזור שכונת הגוש הגדול תל אביב יפו למודעות ארכיון שפורסמו באזור במיקום מצויין . דירת 4.5 חדרים מושקעת עם נוף פתוח לים. מטבח משודרג ומרווח ,סוויטת הורים + מרפסת שמש 20 מ""ר עם נוף לים שי ששון הצגת מספר טלפון תאריך יצירה: 27/06/2024 תאריך הקפצה אחרון: 27/06/2024 מודעה מתיווך מצאתי טעות מקור המודעה:יד2",1,1,1,1,1,0,1,1,0,0,12500.0,2,4778.0
